Country,Age,Sex,Year,Life Expectancy
Brazil,0 years,Total,2017,6.7
Brazil,0 years,Total,2018,75.6
Brazil,0 years,Total,2018,-6.6
Brazil,0 years,Total,2018,6.6
Brazil,0 years,Total,2019,75.8
Brazil,0 years,Total,2019,-6.4
Brazil,0 years,Total,2019,6.4
Brazil,0 years,Total,2020,74.5
Brazil,0 years,Total,2020,-6.1
Brazil,0 years,Total,2020,6.1
Brazil,0 years,Total,2021,73
Brazil,0 years,Total,2021,-6.6
Brazil,0 years,Total,2021,6.6
Brazil,0 years,Total,2022,74.9
Brazil,0 years,Total,2022,-6.4
Brazil,0 years,Total,2022,6.4
Brazil,0 years,Total,2023,75.8
Brazil,0 years,Total,2023,-6.2
Brazil,0 years,Total,2023,6.2
Brazil,0 years,Total,2024,76
Brazil,0 years,Total,2024,-6.2
Brazil,0 years,Total,2024,6.2
Bulgaria,0 years,Total,2000,71.6
Bulgaria,0 years,Total,2000,-6.6
Bulgaria,0 years,Total,2000,6.6
Bulgaria,0 years,Total,2001,71.9
Bulgaria,0 years,Total,2001,-6.8
Bulgaria,0 years,Total,2001,6.8
Bulgaria,0 years,Total,2002,72.1
Bulgaria,0 years,Total,2002,-6.7
Bulgaria,0 years,Total,2002,6.7
Bulgaria,0 years,Total,2003,72.3
Bulgaria,0 years,Total,2003,-7
Bulgaria,0 years,Total,2003,7
Bulgaria,0 years,Total,2004,72.5
Bulgaria,0 years,Total,2004,-7.2
Bulgaria,0 years,Total,2004,7.2
Bulgaria,0 years,Total,2005,72.5
Bulgaria,0 years,Total,2005,-7.2
Bulgaria,0 years,Total,2005,7.2
Bulgaria,0 years,Total,2006,72.7
Bulgaria,0 years,Total,2006,-7.1
Bulgaria,0 years,Total,2006,7.1
Bulgaria,0 years,Total,2007,73
Bulgaria,0 years,Total,2007,-7.1
Bulgaria,0 years,Total,2007,7.1
Bulgaria,0 years,Total,2008,73.3
Bulgaria,0 years,Total,2008,-7.2
Bulgaria,0 years,Total,2008,7.2
Bulgaria,0 years,Total,2009,73.7
Bulgaria,0 years,Total,2009,-7.2
Bulgaria,0 years,Total,2009,7.2
Bulgaria,0 years,Total,2010,73.8
Bulgaria,0 years,Total,2010,-7.1
Bulgaria,0 years,Total,2010,7.1
Bulgaria,0 years,Total,2011,74.2
Bulgaria,0 years,Total,2011,-7.1
Bulgaria,0 years,Total,2011,7.1
Bulgaria,0 years,Total,2012,74.4
Bulgaria,0 years,Total,2012,-7
Bulgaria,0 years,Total,2012,7
Bulgaria,0 years,Total,2013,74.9
Bulgaria,0 years,Total,2013,-7.3
Bulgaria,0 years,Total,2013,7.3
Bulgaria,0 years,Total,2014,74.4
Bulgaria,0 years,Total,2014,-7
Bulgaria,0 years,Total,2014,7
Bulgaria,0 years,Total,2015,74.5
