Country,Age,Sex,Year,Life Expectancy
Indonesia,0 years,Female,2001,68.3
Indonesia,0 years,Female,2002,68.7
Indonesia,0 years,Female,2003,68.8
Indonesia,0 years,Female,2004,66.9
Indonesia,0 years,Female,2005,69.3
Indonesia,0 years,Female,2006,69.4
Indonesia,0 years,Female,2007,69.7
Indonesia,0 years,Female,2008,69.9
Indonesia,0 years,Female,2009,70.0
Indonesia,0 years,Female,2010,70.2
Indonesia,0 years,Female,2011,70.5
Indonesia,0 years,Female,2012,70.7
Indonesia,0 years,Female,2013,71.0
Indonesia,0 years,Female,2014,71.2
Indonesia,0 years,Female,2015,71.5
Indonesia,0 years,Female,2016,71.7
Indonesia,0 years,Female,2017,71.9
Indonesia,0 years,Female,2018,72.1
Indonesia,0 years,Female,2019,72.4
Indonesia,0 years,Female,2020,71.1
Indonesia,0 years,Female,2021,69.4
Indonesia,0 years,Female,2022,73.0
Indonesia,0 years,Female,2023,73.3
Indonesia,0 years,Female,2024,73.4
Ireland,0 years,Female,2000,79.2
Ireland,0 years,Female,2001,79.9
Ireland,0 years,Female,2002,80.4
Ireland,0 years,Female,2003,80.7
Ireland,0 years,Female,2004,81.1
Ireland,0 years,Female,2005,81.3
Ireland,0 years,Female,2006,81.7
Ireland,0 years,Female,2007,82.1
Ireland,0 years,Female,2008,82.4
Ireland,0 years,Female,2009,82.7
Ireland,0 years,Female,2010,83.1
Ireland,0 years,Female,2011,83.0
Ireland,0 years,Female,2012,83.1
Ireland,0 years,Female,2013,83.1
Ireland,0 years,Female,2014,83.3
Ireland,0 years,Female,2015,83.3
Ireland,0 years,Female,2016,83.4
Ireland,0 years,Female,2017,83.8
Ireland,0 years,Female,2018,83.9
Ireland,0 years,Female,2019,84.4
Ireland,0 years,Female,2020,84.1
Ireland,0 years,Female,2021,84.0
Ireland,0 years,Female,2022,84.0
Ireland,0 years,Female,2023,84.5
Ireland,0 years,Female,2024,84.7
Israel,0 years,Female,2000,80.9
Israel,0 years,Female,2001,81.2
Israel,0 years,Female,2002,81.5
Israel,0 years,Female,2003,81.8
Israel,0 years,Female,2004,82.4
Israel,0 years,Female,2005,82.2
Israel,0 years,Female,2006,82.5
Israel,0 years,Female,2007,82.4
Israel,0 years,Female,2008,83.0
Israel,0 years,Female,2009,83.3
Israel,0 years,Female,2010,83.6
Israel,0 years,Female,2011,83.5
Israel,0 years,Female,2012,83.6
Israel,0 years,Female,2013,83.9
